Year,Month,Relative,Percentage,No. of Tourists,Holidays,Avg Temp(*C),Relative Humidity(at 2m)%,Precipitation (mm/day),Cultural Fests,GDP of goa (k ),Airport Traffic index(in Ks),
2012,2,75,0.006220969,178061.3968,8,26,56.56,0,6,259444.014,,
2012,3,75,0.006220969,178061.3968,9,26,65.31,0,4,259444.014,,
2012,4,77,0.006386861,182809.7007,7,28,70.31,0,5,259444.014,,
2012,5,85,0.007050431,201802.9164,6,28,72.94,0,4,259444.014,,
2012,6,84,0.006967485,199428.7644,6,27,82.88,21.09,5,259444.014,2009.2816675184695   -   196719.08616390591,
2012,7,87,0.007216324,206551.2203,5,26,86.12,15.82,3,259444.014,,
2012,8,84,0.006967485,199428.7644,7,26,87.44,15.82,5,259444.014,,
2012,9,75,0.006220969,178061.3968,10,26,86.19,5.27,2,259444.014,,
2012,10,70,0.005806238,166190.637,11,27,77.38,0,3,259444.014,,
2012,11,65,0.005391506,154319.8772,9,26,67.44,0,6,259444.014,2009.3390073226917   -   602241.8799972705,
2012,12,67,0.005557399,159068.1812,11,26,63.62,0,7,259444.014,,
2013,1,72,0.00597213,170938.9409,9,26,58.88,0,7,234354.353,,
2013,2,71,0.005889184,168564.789,8,27,59.94,0,6,234354.353,,
2013,3,72,0.00597213,170938.9409,9,28,60.81,0,4,234354.353,,
2013,4,76,0.006303915,180435.5488,7,28,68.12,0,5,234354.353,2009.3443408783742   -   187472.12684980244,
2013,5,75,0.006220969,178061.3968,6,29,73.62,0,4,234354.353,,
2013,6,80,0.0066357,189932.1566,6,27,85.19,15.82,5,234354.353,,
2013,7,86,0.007133378,204177.0683,5,26,88.94,26.37,3,234354.353,,
2013,8,87,0.007216324,206551.2203,7,25,88.5,10.55,5,234354.353,,
2013,9,75,0.006220969,178061.3968,10,26,86.62,10.55,2,234354.353,2009.4513808313757   -   392923.12284732575,
2013,10,71,0.005889184,168564.789,11,26,81.25,5.27,3,234354.353,,
2013,11,69,0.005723291,163816.4851,9,27,69.44,0,6,234354.353,,
2013,12,71,0.005889184,168564.789,11,26,60.62,0,7,234354.353,,
2014,1,80,0.0066357,189932.1566,9,26,61.5,0,7,215776.325,,
2014,2,74,0.006138023,175687.2449,8,26,61.56,0,6,215776.325,2009.909027903347   -   -63737.8485793483,
2014,3,76,0.006303915,180435.5488,9,28,60.12,0,4,215776.325,,
2014,4,78,0.006469808,185183.8527,7,29,65.44,0,5,215776.325,2009.885813323124   -   265557.40703990206,
2014,5,79,0.006552754,187558.0046,6,29,70.81,5.27,4,215776.325,2009.9721051918984   -   -47419.6602676902,
2014,6,78,0.006469808,185183.8527,6,28,81,10.55,5,215776.325,,
2014,7,89,0.007382216,211299.5242,5,26,86.69,21.09,3,215776.325,2009.9759033399282   -   -68254.41303788591,
2014,8,85,0.007050431,201802.9164,7,26,87.94,21.09,5,215776.325,2010.0240117640803   -   289949.98301837465,
2014,9,77,0.006386861,182809.7007,10,26,86.12,5.27,2,215776.325,,
2014,10,71,0.005889184,168564.789,11,27,79.12,5.27,3,215776.325,,
2014,11,68,0.005640345,161442.3331,9,26,69,0,6,215776.325,,
2014,12,67,0.005557399,159068.1812,11,26,65.81,0,7,215776.325,2010.1792603466101   -   248058.9990884572,
2015,1,77,0.006386861,182809.7007,9,25,59.06,0,7,289184.55,,
2015,2,73,0.006055076,173313.0929,8,26,58.56,0,6,289184.55,,
2015,3,79,0.006552754,187558.0046,9,27,66.19,0,4,289184.55,,
2015,4,81,0.006718646,192306.3086,7,28,66.81,0,5,289184.55,2010.3611755323282   -   211568.90813024377,
2015,5,75,0.006220969,178061.3968,6,30,72.62,0,4,289184.55,,
2015,6,83,0.006884539,197054.6125,6,27,84.56,21.09,5,289184.55,,
2015,7,93,0.007714001,220796.1321,5,26,85.88,15.82,3,289184.55,,
2015,8,91,0.007548109,216047.8281,7,26,86.62,10.55,5,289184.55,2010.6819143778691   -   194255.62499011552,
2015,9,77,0.006386861,182809.7007,10,27,83.31,5.27,2,289184.55,,
2015,10,73,0.006055076,173313.0929,11,28,78.56,0,3,289184.55,,
2015,11,68,0.005640345,161442.3331,9,28,70.94,0,6,289184.55,,
2015,12,71,0.005889184,168564.789,11,27,61.5,0,7,289184.55,2010.7537980944026   -   240188.26558909402,
2016,1,75,0.006220969,178061.3968,9,26,57.56,0,7,334576.101,,
2016,2,75,0.006220969,178061.3968,8,27,64.06,0,6,334576.101,,
2016,3,78,0.006469808,185183.8527,9,28,64.56,0,4,334576.101,,
2016,4,76,0.006303915,180435.5488,7,29,67.38,0,5,334576.101,2010.8419923452282   -   301961.34508025995,
2016,5,79,0.006552754,187558.0046,6,29,72.44,0,4,334576.101,,
2016,6,83,0.006884539,197054.6125,6,27,83,31.64,5,334576.101,,
2016,7,95,0.007879894,225544.436,5,26,88.88,31.64,3,334576.101,,
2016,8,87,0.007216324,206551.2203,7,26,87.69,15.82,5,334576.101,2010.9646349590137   -   342194.4667894135,
2016,9,79,0.006552754,187558.0046,10,26,86.56,5.27,2,334576.101,2011.043199476509   -   332393.8101317701,
2016,10,75,0.006220969,178061.3968,11,26,80,0,3,334576.101,,
2016,11,72,0.00597213,170938.9409,9,26,65.38,0,6,334576.101,,
2016,12,72,0.00597213,170938.9409,11,27,58.25,0,7,334576.101,2011.1225151873264   -   316326.4676461227,
2017,1,83,0.006884539,197054.6125,9,26,57.5,0,7,378952.86,,
2017,2,77,0.006386861,182809.7007,8,27,59.62,0,6,378952.86,2011.260984048382   -   -41306.72051138384,
2017,3,77,0.006386861,182809.7007,9,27,64.06,0,4,378952.86,,
2017,4,80,0.0066357,189932.1566,7,28,68.5,0,5,378952.86,2011.2819160835363   -   -64020.263810597826,
2017,5,80,0.0066357,189932.1566,6,29,73.12,5.27,4,378952.86,,
2017,6,88,0.00729927,208925.3723,6,27,83.94,15.82,5,378952.86,2011.3780352577153   -   235456.5358002436,
2017,7,100,0.008294625,237415.1958,5,27,86.25,15.82,3,378952.86,,
2017,8,95,0.007879894,225544.436,7,27,87.56,10.55,5,378952.86,2011.5533777392852   -   215820.98156947875,
2017,9,83,0.006884539,197054.6125,10,27,86.19,10.55,2,378952.86,2011.6527346896362   -   222448.3705897641,
2017,10,81,0.006718646,192306.3086,11,27,81.69,5.27,3,378952.86,,
2017,11,74,0.006138023,175687.2449,9,27,72.19,0,6,378952.86,2011.796638068751   -   -66590.28843770712,
2017,12,77,0.006386861,182809.7007,11,26,66.56,0,7,378952.86,2011.8026708823763   -   -40963.908657666994,
2018,1,85,0.007050431,201802.9164,9,26,59,0,7,411739.841,,
2018,2,84,0.006967485,199428.7644,8,27,54.56,0,6,411739.841,2011.7773197696931   -   292049.22135637014,
2018,3,85,0.007050431,201802.9164,9,28,63.12,0,4,411739.841,,
2018,4,82,0.006801593,194680.4605,7,29,65.75,0,5,411739.841,,
2018,5,90,0.007465163,213673.6762,6,30,74.31,0,4,411739.841,,
2018,6,89,0.007382216,211299.5242,6,27,86,31.64,5,411739.841,2011.863643848295   -   361828.45624715893,
2018,7,100,0.008294625,237415.1958,5,27,88.38,15.82,3,411739.841,2011.9749993154944   -   -46305.910059944494,
2018,8,91,0.007548109,216047.8281,7,26,88.62,10.55,5,411739.841,,
2018,9,81,0.006718646,192306.3086,10,26,83.88,5.27,2,411739.841,,
2018,10,81,0.006718646,192306.3086,11,28,75.62,0,3,411739.841,2012.005932937336   -   390072.5708904803,
2018,11,76,0.006303915,180435.5488,9,28,64.69,0,6,411739.841,,
2018,12,78,0.006469808,185183.8527,11,27,58.69,0,7,411739.841,,
2019,1,84,0.006967485,199428.7644,9,26,53.62,0,7,423715.66,2012.1240420218664   -   -63551.982473250246,
2019,2,83,0.006884539,197054.6125,8,27,57.56,0,6,423715.66,,
2019,3,84,0.006967485,199428.7644,9,27,64.12,0,4,423715.66,,
2019,4,88,0.00729927,208925.3723,7,29,67.25,0,5,423715.66,2012.2700819809252   -   -66598.77963247243,
2019,5,83,0.006884539,197054.6125,6,29,71.31,0,4,423715.66,,
2019,6,93,0.007714001,220796.1321,6,28,80.44,21.09,5,423715.66,2012.2760713627242   -   -40610.07819394022,
2019,7,99,0.008211679,235041.0438,5,27,88.38,31.64,3,423715.66,,
2019,8,96,0.00796284,227918.5879,7,26,88.19,31.64,5,423715.66,,
2019,9,83,0.006884539,197054.6125,10,26,86.81,15.82,2,423715.66,2012.3250992468693   -   -69845.93677224987,
2019,10,77,0.006386861,182809.7007,11,27,83.12,15.82,3,423715.66,,
2019,11,79,0.006552754,187558.0046,9,27,78.69,0,6,423715.66,2012.4218619211683   -   224262.58683725738,
2019,12,83,0.006884539,197054.6125,11,27,73.19,0,7,423715.66,,
2020,1,89,0.007382216,211299.5242,9,25,69.31,0,7,435949.354,,covid
2020,2,81,0.006718646,192306.3086,8,26,61.12,0,6,435949.354,2012.6282456386418   -   211510.37707224803,covid
2020,3,64,0.00530856,151945.7253,9,27,64.94,0,4,435949.354,,covid
2020,4,43,0.003566689,102088.5342,7,28,66.5,0,5,435949.354,,covid
2020,5,50,0.004147313,118707.5979,6,30,72,0,4,435949.354,2012.74461013762   -   243354.29039839667,covid
2020,6,63,0.005225614,149571.5733,6,27,84.88,26.37,5,435949.354,,covid
2020,7,72,0.00597213,170938.9409,5,27,88.12,31.64,3,435949.354,,covid
2020,8,71,0.005889184,168564.789,7,27,88.12,26.37,5,435949.354,2012.7968652723669   -   285935.8717785586,covid
2020,9,61,0.005059721,144823.2694,10,27,86.19,21.09,2,435949.354,,covid
2020,10,62,0.005142668,147197.4214,11,26,84.69,5.27,3,435949.354,2012.9133534190953   -   -61936.502261203714,covid
2020,11,54,0.004479098,128204.2057,9,27,77.19,0,6,435949.354,,covid
2020,12,55,0.004562044,130578.3577,11,27,67.06,0,7,435949.354,2012.870822083037   -   352551.10686042253,covid
2021,1,57,0.004727936,135326.6616,9,27,67.5,0.34,7,431351.063,,covid
2021,2,55,0.004562044,130578.3577,8,26,60.31,0.19,6,431351.063,2012.9045784174584   -   374761.2477219881,covid
2021,3,57,0.004727936,135326.6616,9,28,62.44,0,4,431351.063,,covid
2021,4,63,0.005225614,149571.5733,7,29,66.5,0.67,5,431351.063,2012.9429032371072   -   396836.66277717357,covid
2021,5,64,0.00530856,151945.7253,6,29,76.62,12.04,4,431351.063,2013.0097468120753   -   408861.7478326899,covid
2021,6,74,0.006138023,175687.2449,6,27,83.88,24.08,5,431351.063,,covid
2021,7,84,0.006967485,199428.7644,5,26,87.5,33.2,3,431351.063,2013.1084177168439   -   383235.3565469658,covid
2021,8,78,0.006469808,185183.8527,7,27,86.25,7.88,5,431351.063,,covid
2021,9,73,0.006055076,173313.0929,10,26,86.81,12.93,2,431351.063,,covid
2021,10,72,0.00597213,170938.9409,11,27,82.44,6.06,3,431351.063,2013.190950595875   -   347924.80365373683,covid
2021,11,68,0.005640345,161442.3331,9,27,80.44,4.96,6,431351.063,,covid
2021,12,66,0.005474453,156694.0292,11,26,72.88,2.41,7,431351.063,,covid
2022,1,67,0.005557399,159068.1812,9,25,68.62,0.02,7,491351.626,2013.2203687888623   -   322775.69115022046,covid
2022,2,68,0.005640345,161442.3331,8,25,64.31,0,6,491351.626,,covid
2022,3,71,0.005889184,168564.789,9,28,65.56,0.17,4,491351.626,,covid
2022,4,75,0.006220969,178061.3968,7,29,69.38,1.45,5,491351.626,2013.3398843111552   -   275165.02133199223,covid
2022,5,78,0.006469808,185183.8527,6,29,74.12,1.96,4,491351.626,,covid
2022,6,81,0.006718646,192306.3086,6,27,83.19,24.06,5,491351.626,,covid
2022,7,87,0.007216324,206551.2203,5,27,87.75,24.78,3,491351.626,2013.5018867959188   -   214907.8904900708,covid
2022,8,83,0.006884539,197054.6125,7,26,88.12,12.21,5,491351.626,,covid
2022,9,75,0.006220969,178061.3968,10,26,86.81,9.1,2,491351.626,,covid
2022,10,71,0.005889184,168564.789,11,26,80.56,3.51,3,491351.626,2013.697202377805   -   256512.48972777068,covid
2022,11,72,0.00597213,170938.9409,9,27,73.44,0.09,6,491351.626,,covid
2022,12,68,0.005640345,161442.3331,11,26,67.56,0.19,7,491351.626,,covid
,,12056,,,,,,,,,2013.8055650059723   -   -39850.15844992129,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2013.8099392113338   -   349001.0913544948,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2013.871781035369   -   395156.9249638553,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2013.9816915871204   -   -66026.9126223945,
,,,,,,,,,,,2014.0001702780671   -   425426.8837350535,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2014.1269361454627   -   -62438.23226550454,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2014.2798807677411   -   -52195.48504244443,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2014.2561663258177   -   340586.2022848815,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2014.3838974433932   -   300392.47603762173,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2014.6276596763616   -   317610.0417491817,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2014.8009792541452   -   -64919.66312608868,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2014.7999513491238   -   418367.7324183233,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2014.9640214436479   -   473781.40752725874,
,,,,,,,,,,,2015.0590920336215   -   451063.53315986623,
,,,,,,,,,,,,
,,,,,,,,,,,2015.1283832072606   -   -61881.35716163181,
,,,,,,,,,,,,
,,,,,,,,,,,2015.177139310105   -   423839.34672018304,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2015.2650355765002   -   355178.8612568226,
,,,,,,,,,,,,
,,,,,,,,,,,2015.4213037306486   -   342759.2808152217,
,,,,,,,,,,,,
,,,,,,,,,,,2015.5392228009391   -   384420.67210896953,
,,,,,,,,,,,,
,,,,,,,,,,,2015.69878822843   -   420448.1901927508,
,,,,,,,,,,,,
,,,,,,,,,,,2015.8084591295685   -   -38736.40824217559,
,,,,,,,,,,,,
,,,,,,,,,,,2015.788848330456   -   466655.7648628986,
,,,,,,,,,,,,
,,,,,,,,,,,2015.8133634912788   -   490004.65203062247,
,,,,,,,,,,,,
,,,,,,,,,,,2015.8621927191366   -   538380.012616487,
,,,,,,,,,,,,
,,,,,,,,,,,2015.8907114744563   -   566306.666263093,
,,,,,,,,,,,,
,,,,,,,,,,,2015.9617291581576   -   581487.0355719313,
,,,,,,,,,,,,
,,,,,,,,,,,2016.108967702667   -   -39190.46855414333,
,,,,,,,,,,,,
,,,,,,,,,,,2016.103515235741   -   537973.4592736079,
,,,,,,,,,,,,
,,,,,,,,,,,2016.2768432339806   -   -54404.1155883451,
,,,,,,,,,,,,
,,,,,,,,,,,2016.2624534500467   -   488088.62198572897,
,,,,,,,,,,,,
,,,,,,,,,,,2016.337008057703   -   488953.6768345862,
,,,,,,,,,,,,
,,,,,,,,,,,2016.5101169024929   -   487951.8078977094,
,,,,,,,,,,,,
,,,,,,,,,,,2016.6847028725579   -   512604.2890585901,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2016.72894350581   -   530900.5471588565,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2016.7835678909992   -   599289.4927278173,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2016.9860327725144   -   -64356.287310775835,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2016.9527060475482   -   745343.2777834537,
,,,,,,,,,,,2017.0084821517019   -   697788.6751631836,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2017.1312773308566   -   -60767.606953886105,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2017.1808012463443   -   627421.1776626674,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2017.256825666775   -   593238.4119116206,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2017.5125810667532   -   555977.6685978082,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2017.6800988394773   -   563641.2595159197,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2017.8113532531645   -   -37622.658034429885,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2017.7650152615665   -   652758.9948888824,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2017.8446630264232   -   717470.9194594754,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2017.9874798343126   -   -63799.4122069031,
,,,,,,,,,,,2017.9399266379426   -   758246.2005027116,
,,,,,,,,,,,,
,,,,,,,,,,,2017.9944449918617   -   738906.7297078567,
,,,,,,,,,,,2018.042136211695   -   714492.2388257427,
,,,,,,,,,,,,
,,,,,,,,,,,2018.0461652693662   -   694443.8084678433,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2018.1721296343799   -   693402.6509075668,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2018.4441372348329   -   607908.1129433868,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2018.8067675013372   -   -62692.16271059727,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2018.745137241262   -   717285.315518605,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2018.8298982726972   -   807699.3675396173,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2018.922263602426   -   849282.5555845124,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2019.0578289402126   -   779762.7998286622,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2019.292701967479   -   -46267.92676767032,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2019.3513527449632   -   -48551.7921752932,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2019.662243740453   -   661897.4419059597,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2019.7450486777734   -   730652.8492620259,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2019.92074066367   -   -64097.04507491994,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2019.9373134508521   -   835685.2179302197,
,,,,,,,,,,,2020.1237835651796   -   -36320.14557556552,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2020.0437552178657   -   764220.3945858167,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2020.2421662314373   -   -45997.44404258556,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2020.1843929003485   -   369505.738929188,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2020.2317779091873   -   202067.3170722155,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2020.313627651017   -   -63001.5936987123,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2020.6680417405626   -   56502.6961703219,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2020.7618519924358   -   147379.33421511948,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2020.8369788033242   -   280188.0347689254,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2020.9918210197065   -   -62128.78689528443,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2020.9665289056138   -   566612.6311639141,
,,,,,,,,,,,2021.0138366346087   -   589703.819775047,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2021.2016495900955   -   450844.94160123577,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2021.2527639746297   -   328248.88748362544,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2021.3039441716762   -   205103.80513860588,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2021.3552779312515   -   80677.6569296316,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2021.5162553362784   -   120116.81741114368,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2021.5779728477903   -   250859.0683607487,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2021.6501837987598   -   407992.769545601,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2021.689397087324   -   517598.76264644973,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,2021.8171415003567   -   -35395.15761893848,
,,,,,,,,,,,2021.7836369486524   -   699833.9255446803,
,,,,,,,,,,,2021.861649150704   -   774814.4864056626,
,,,,,,,,,,,2021.9063041590334   -   739861.8548860142,
,,,,,,,,,,,2021.9367241647076   -   637996.7421353073,
,,,,,,,,,,,2021.962985185231   -   551838.6713769052,
,,,,,,,,,,,2022.0012569892447   -   530049.8782501828,
,,,,,,,,,,,2022.003509239665   -   468220.3307797343,
,,,,,,,,,,,2022.0762540032338   -   552542.2324456392,
,,,,,,,,,,,2022.090842443455   -   658702.8772475836,
,,,,,,,,,,,2022.1320211329542   -   762615.4954938443,
,,,,,,,,,,,2022.2087439922327   -   690744.9283136125,
,,,,,,,,,,,2022.3194970486054   -   672831.1783204088,
,,,,,,,,,,,2022.4306927724715   -   580695.875978335,
,,,,,,,,,,,2022.5741366273528   -   599306.5786685043,
,,,,,,,,,,,2022.9278397067214   -   -56498.47222900111,
,,,,,,,,,,,2022.9748251395927   -   826476.1835420213,
,,,,,,,,,,,2022.9959674091613   -   802008.8000719165,
